Date,City,Rep,Store,Prod,Cost,Sale
8/16/2005,Riyadh,Ghalia,Lulu,Office,1384.196,2516.72
11/12/2004,Abha,Maliha,Othaim,Home,6395.6775,8527.57
2/22/2006,Riyadh,Abdul,Carrefour,Home,793.9068,1167.51
10/22/2005,Jeddah,Abdul,Panda,Home,113.6773,121.58
9/10/2005,Dammam,Maliha,Panda,Food,5758.37515,6158.69
2/14/2005,Abha,Ghalia,Othaim,Toys,1401.4683,2375.37
2/24/2005,Abha,Ghalia,Lulu,Toys,4460.7915,8110.53
5/22/2006,Jubail,Ghalia,Lulu,Office,776.8485,1726.33
11/22/2005,Riyadh,Maliha,Carrefour,Food,5273.796,5992.95
2/4/2005,Jeddah,Yahia,Carrefour,Food,4457.7247,4767.62
4/12/2005,Jeddah,Yahia,Panda,Toys,3453.9696,5955.12
8/17/2004,Dammam,Abdul,Othaim,Home,6390.6656,7262.12
7/21/2005,Abha,Ghalia,Panda,Home,1625.0625,2166.75
4/14/2006,Riyadh,Abdul,Lulu,Home,6221.9201,6654.46
4/16/2005,Jubail,Abdul,Lulu,Home,5199.7575,6933.01
10/18/2005,Dammam,Yahia,Panda,Office,3776.4322,6511.09
6/7/2005,Dammam,Ghalia,Othaim,Toys,2763.3285,6140.73
4/1/2005,Dammam,Ghalia,Lulu,Food,1506.989,2739.98
12/20/2004,Riyadh,Maliha,Lulu,Home,3589.2229,8347.03
10/4/2005,Riyadh,Maliha,Carrefour,Office,3640.3153,9838.69
3/27/2006,Abha,Ghalia,Carrefour,Home,3377.2603,5724.17
1/21/2006,Hail,Ghalia,Carrefour,Home,600.0184,882.38
6/7/2006,Riyadh,Abdul,Carrefour,Office,391.896,870.88
9/6/2004,Jeddah,Ghalia,Othaim,Toys,1823.277,3090.3
9/29/2004,Jubail,Mjeed,Panda,Office,2626.7312,3862.84
5/2/2006,Hail,Abdul,Panda,Home,5363.0444,7886.83
10/29/2005,Dammam,Ghalia,Lulu,Home,2969.99,8027
7/17/2005,Jeddah,Mjeed,Othaim,Home,4164.3375,5552.45
12/9/2005,Hail,Mjeed,Carrefour,Food,1479.2355,3287.19
6/15/2006,Jeddah,Ghalia,Panda,Toys,6971.4975,9295.33
10/12/2005,Hail,Abdul,Lulu,Toys,5599.6192,9490.88
5/8/2005,Dammam,Mjeed,Panda,Toys,2864.6399,7742.27
7/15/2005,Jeddah,Yahia,Othaim,Food,3145.57375,3364.25
12/14/2005,Dammam,Maliha,Othaim,Food,3963.24,8807.2
8/17/2005,Hail,Abdul,Lulu,Toys,1738.624,2556.8
1/10/2005,Abha,Mjeed,Othaim,Home,988.2389,1056.94
11/6/2005,Jeddah,Maliha,Lulu,Toys,3078.666,4527.45
2/24/2005,Abha,Ghalia,Othaim,Office,655.1875,1191.25
4/18/2006,Jubail,Mjeed,Lulu,Office,2322.1385,4222.07
2/14/2005,Dammam,Maliha,Carrefour,Office,1698.6663,4590.99
5/10/2006,Jubail,Ghalia,Lulu,Home,2236.3419,3790.41
2/8/2005,Abha,Yahia,Panda,Toys,3726.3072,4234.44
6/19/2004,Jubail,Ghalia,Othaim,Toys,3623.9411,8427.77
1/4/2005,Dammam,Ghalia,Lulu,Home,3692.1176,8586.32
3/28/2005,Dammam,Maliha,Lulu,Office,2294.3591,2453.86
11/23/2005,Jeddah,Abdul,Lulu,Office,3666.6375,4888.85
1/18/2005,Hail,Ghalia,Othaim,Home,3657.2835,9884.55
1/14/2005,Jeddah,Abdul,Carrefour,Office,2206.5098,5963.54
3/15/2006,Jeddah,Abdul,Othaim,Office,5948.1664,6759.28
4/23/2005,Jeddah,Mjeed,Carrefour,Home,406.7085,739.47
10/7/2005,Dammam,Yahia,Lulu,Food,3641.6344,6278.68
4/9/2006,Jubail,Yahia,Lulu,Toys,3119.479,5671.78
7/10/2004,Riyadh,Abdul,Lulu,Toys,3181.599,7070.22
1/13/2005,Jubail,Ghalia,Panda,Food,1268.0025,1690.67
8/6/2004,Jeddah,Yahia,Carrefour,Home,1600.324,1818.55
3/16/2005,Dammam,Ghalia,Lulu,Toys,335.06,609.2
1/6/2006,Riyadh,Maliha,Lulu,Food,8498.82275,9089.65
5/22/2005,Dammam,Ghalia,Lulu,Home,6011.2204,8840.03
5/21/2005,Abha,Ghalia,Carrefour,Food,4149.3485,7544.27
5/10/2006,Dammam,Maliha,Carrefour,Home,2127.2576,3128.32
7/17/2005,Jubail,Maliha,Carrefour,Office,2341.155,3121.54
9/25/2004,Jubail,Ghalia,Othaim,Food,2641.896,5870.88
4/12/2006,Jubail,Maliha,Othaim,Home,4866.6002,8390.69
7/16/2005,Dammam,Mjeed,Lulu,Home,6263.6175,8351.49
10/31/2004,Jubail,Abdul,Panda,Home,3592.006,6530.92
4/28/2006,Dammam,Maliha,Lulu,Food,98.0426,264.98
2/11/2006,Hail,Abdul,Panda,Food,2570.7332,3780.49
12/26/2004,Riyadh,Maliha,Carrefour,Office,6261.7875,8349.05
4/6/2005,Jubail,Maliha,Carrefour,Home,2218.6425,2958.19
3/8/2006,Riyadh,Ghalia,Panda,Toys,1701.144,3780.32
1/9/2005,Dammam,Ghalia,Lulu,Food,5832.7016,6628.07
12/20/2004,Jubail,Ghalia,Carrefour,Home,4999.8842,8474.38
1/22/2005,Dammam,Mjeed,Othaim,Toys,521.2486,1408.78
9/30/2004,Hail,Ghalia,Panda,Toys,5505.8646,9492.87
7/25/2004,Riyadh,Ghalia,Panda,Office,307.4475,409.93
4/3/2005,Hail,Abdul,Panda,Office,219.0824,322.18
11/16/2005,Hail,Ghalia,Carrefour,Office,3606.3604,9746.92
9/29/2005,Dammam,Yahia,Panda,Food,6424.8304,9448.28
8/28/2005,Jeddah,Yahia,Lulu,Toys,5503.7976,8093.82
2/23/2006,Jubail,Mjeed,Othaim,Food,2010.0105,4466.69
10/11/2004,Jeddah,Ghalia,Lulu,Home,1496.8125,3326.25
7/21/2004,Jeddah,Ghalia,Lulu,Home,6587.7,8783.6
2/9/2005,Dammam,Maliha,Panda,Toys,1523.734,2582.6
7/22/2004,Jeddah,Abdul,Othaim,Office,1476.1113,3989.49
2/22/2006,Abha,Ghalia,Carrefour,Toys,283.118,302.8
1/2/2005,Dammam,Yahia,Othaim,Office,3591.4716,6087.24
4/15/2006,Dammam,Yahia,Othaim,Toys,3894.4125,8654.25
10/1/2004,Abha,Maliha,Carrefour,Toys,4539.491,8253.62
3/1/2006,Riyadh,Mjeed,Lulu,Toys,1049.8713,2837.49
8/16/2004,Jeddah,Abdul,Othaim,Home,2645.0589,2828.94
4/30/2006,Riyadh,Mjeed,Panda,Toys,3233.7251,5480.89
12/29/2004,Dammam,Yahia,Carrefour,Office,3325.6755,7390.39
9/23/2005,Jeddah,Ghalia,Lulu,Toys,2280.1692,3353.19
4/3/2006,Dammam,Yahia,Lulu,Food,6397.6814,6842.44
9/5/2004,Abha,Abdul,Othaim,Food,3313.2715,6024.13
4/7/2006,Abha,Mjeed,Panda,Office,1664.5014,2869.83
12/14/2005,Jubail,Maliha,Panda,Food,2964.7575,6588.35
11/24/2004,Jeddah,Ghalia,Lulu,Food,3068.3972,5290.34
9/2/2004,Riyadh,Abdul,Othaim,Toys,3719.6368,4226.86
7/11/2004,Dammam,Maliha,Othaim,Home,4710.7252,7984.28
6/22/2005,Jeddah,Abdul,Carrefour,Office,6892.1625,9189.55
1/24/2005,Riyadh,Maliha,Othaim,Home,4773.7608,8091.12
8/13/2004,Hail,Abdul,Othaim,Office,4570.1656,5193.37
8/25/2005,Dammam,Maliha,Carrefour,Toys,6362.0568,7229.61
7/18/2005,Abha,Maliha,Carrefour,Toys,1068.597,2888.1
11/28/2004,Riyadh,Mjeed,Carrefour,Office,2143.98,4764.4
5/30/2005,Abha,Yahia,Othaim,Home,1004.5194,1731.93
7/26/2004,Abha,Maliha,Lulu,Office,3913.9425,5218.59
11/20/2005,Abha,Yahia,Carrefour,Office,6202.6778,6633.88
10/16/2005,Riyadh,Maliha,Othaim,Home,3111.4743,8409.39
1/10/2005,Dammam,Mjeed,Panda,Office,5815.1016,6608.07
11/23/2004,Riyadh,Maliha,Lulu,Food,682.209,1240.38
3/5/2006,Jeddah,Maliha,Panda,Toys,755.2985,1373.27
10/15/2005,Jubail,Maliha,Panda,Office,926.091,2057.98
3/11/2005,Abha,Yahia,Carrefour,Toys,4467.838,6570.35
7/25/2004,Dammam,Maliha,Lulu,Food,4488.714,9974.92
3/31/2005,Jubail,Ghalia,Panda,Office,1762.2389,4098.23
1/22/2006,Jubail,Mjeed,Carrefour,Office,4517.7976,6643.82
5/25/2005,Hail,Mjeed,Othaim,Food,454.23,1009.4
5/6/2006,Abha,Mjeed,Lulu,Home,3558.8649,8276.43
12/18/2004,Abha,Mjeed,Panda,Home,114.453,254.34
1/27/2005,Abha,Maliha,Carrefour,Food,3576.3728,4064.06
1/24/2005,Jubail,Maliha,Carrefour,Food,114.0255,253.39
10/17/2004,Hail,Mjeed,Othaim,Office,4316.708,4616.8
3/10/2005,Jubail,Ghalia,Panda,Toys,6587.55,8783.4
1/14/2005,Hail,Mjeed,Othaim,Office,2674.672,4863.04
5/8/2006,Abha,Maliha,Lulu,Toys,1834.0456,4956.88
5/11/2006,Jeddah,Mjeed,Lulu,Home,3545.62285,3792.11
2/4/2006,Jeddah,Mjeed,Panda,Home,1465.0916,2526.02
10/20/2004,Riyadh,Maliha,Panda,Food,6214.076,7061.45
8/1/2004,Jeddah,Maliha,Panda,Home,2934.8968,3335.11
5/19/2005,Jeddah,Ghalia,Carrefour,Office,5267.87415,5634.09
10/20/2004,Jubail,Ghalia,Panda,Toys,3183.978,7404.6
2/15/2006,Abha,Mjeed,Lulu,Home,58.7597,158.81
11/13/2005,Dammam,Mjeed,Carrefour,Toys,833.0476,1937.32
3/17/2005,Hail,Abdul,Lulu,Toys,558.2475,1298.25
11/4/2004,Jeddah,Yahia,Lulu,Home,8100.62,9205.25
3/29/2006,Jubail,Abdul,Lulu,Toys,1929.294,4287.32
5/2/2006,Jubail,Ghalia,Lulu,Home,3127.7565,6950.57
6/9/2006,Hail,Yahia,Carrefour,Food,6487.5184,7372.18
5/7/2006,Jubail,Ghalia,Carrefour,Home,4677.2253,5002.38
7/24/2004,Riyadh,Yahia,Othaim,Home,3410.244,7578.32
1/22/2005,Jeddah,Yahia,Othaim,Food,1735.734,1856.4
10/2/2004,Riyadh,Abdul,Lulu,Food,6662.8287,7126.02
5/16/2006,Jeddah,Maliha,Othaim,Office,4533.7575,6045.01
12/1/2004,Abha,Ghalia,Panda,Food,7115.328,8085.6
5/28/2005,Jubail,Ghalia,Panda,Food,4924.26,8953.2
3/24/2005,Abha,Maliha,Panda,Home,3540.5865,6437.43
5/21/2005,Jubail,Mjeed,Panda,Food,2149.3636,4998.52
11/19/2005,Hail,Abdul,Othaim,Food,1193.4675,1591.29
8/25/2014,Riyadh,Maliha,Panda,Home,4647.2855,8449.61
3/23/2005,Abha,Abdul,Carrefour,Food,7978.40175,8533.05
8/30/2005,Abha,Yahia,Carrefour,Toys,8815.91865,9428.79
11/22/2005,Riyadh,Mjeed,Panda,Home,5646.1289,9569.71
6/14/2006,Riyadh,Yahia,Carrefour,Food,2065.113,4589.14
8/22/2005,Jeddah,Mjeed,Carrefour,Home,1670.3685,3711.93
8/3/2004,Dammam,Maliha,Lulu,Home,421.6168,479.11
10/15/2005,Riyadh,Yahia,Carrefour,Food,2632.6793,6122.51
7/27/2005,Riyadh,Yahia,Panda,Office,3641.2515,8091.67
5/21/2005,Jubail,Ghalia,Carrefour,Food,1242.0676,1826.57
1/4/2006,Jeddah,Abdul,Panda,Home,2693.556,5985.68
12/9/2004,Riyadh,Abdul,Carrefour,Home,627.282,1393.96
8/25/2014,Hail,Maliha,Lulu,Home,3188.9187,7416.09
10/22/2004,Abha,Maliha,Panda,Toys,1721.5523,4003.61
6/17/2004,Jeddah,Yahia,Carrefour,Food,4577.7274,7758.86
2/19/2005,Jeddah,Yahia,Panda,Food,2891.0552,3285.29
3/7/2005,Hail,Abdul,Panda,Office,4069.879,7399.78
1/11/2006,Riyadh,Yahia,Panda,Home,3163.7775,4218.37
10/12/2004,Dammam,Ghalia,Othaim,Toys,2274.3018,3921.21
1/5/2006,Abha,Yahia,Panda,Toys,3253.485,4337.98
1/9/2005,Jubail,Mjeed,Panda,Office,3330.0135,7400.03
9/7/2005,Riyadh,Mjeed,Lulu,Office,1880.0403,5081.19
12/22/2005,Riyadh,Mjeed,Panda,Home,4382.9456,4980.62
7/3/2005,Dammam,Abdul,Lulu,Toys,1034.1458,1783.01
7/12/2005,Riyadh,Maliha,Carrefour,Office,2880.9,3273.75
8/10/2005,Riyadh,Abdul,Panda,Home,526.0794,891.66
7/1/2004,Riyadh,Ghalia,Othaim,Food,3960.8305,7201.51
2/19/2005,Jubail,Ghalia,Othaim,Office,116.9192,171.94
4/19/2006,Hail,Ghalia,Carrefour,Home,4338.3998,7353.22
9/25/2005,Jubail,Abdul,Panda,Food,1503.7125,2004.95
5/28/2005,Riyadh,Mjeed,Lulu,Home,1681.5465,3736.77
8/29/2005,Hail,Mjeed,Lulu,Home,8149.07665,8715.59
12/16/2005,Jubail,Ghalia,Carrefour,Food,3978.1852,6858.94
4/3/2006,Hail,Ghalia,Carrefour,Home,8792.4672,9991.44
8/24/2005,Dammam,Mjeed,Carrefour,Office,923.912,1049.9
10/9/2005,Dammam,Yahia,Carrefour,Home,2970.6633,3177.18
9/10/2005,Hail,Ghalia,Othaim,Toys,3060.2715,5564.13
1/5/2006,Hail,Yahia,Panda,Home,122.8216,131.36
11/2/2004,Abha,Maliha,Lulu,Toys,8311.7408,9445.16
8/10/2004,Jubail,Yahia,Carrefour,Home,5686.0358,9803.51
10/20/2005,Hail,Mjeed,Lulu,Home,612.126,1360.28
4/11/2005,Jubail,Yahia,Lulu,Office,3296.172,3745.65
7/27/2005,Jeddah,Ghalia,Panda,Home,2807.343,5104.26
10/18/2004,Dammam,Yahia,Carrefour,Home,427.9036,629.27
6/11/2006,Jubail,Ghalia,Carrefour,Toys,3427.841,5809.9
5/3/2006,Jubail,Yahia,Othaim,Toys,1978.15145,2115.67
8/13/2004,Abha,Abdul,Lulu,Office,852.832,1470.4
10/28/2004,Dammam,Mjeed,Carrefour,Toys,5717.7188,8408.41
5/30/2006,Hail,Abdul,Othaim,Office,1117.5013,1894.07
2/23/2005,Riyadh,Ghalia,Carrefour,Toys,3422.9536,3889.72
9/23/2004,Abha,Maliha,Panda,Office,4597.5075,6130.01
3/23/2005,Hail,Ghalia,Panda,Food,944.4102,2552.46
10/28/2004,Riyadh,Mjeed,Othaim,Toys,499.1355,1109.19
8/6/2004,Dammam,Mjeed,Othaim,Food,1254.2889,3389.97
12/9/2005,Riyadh,Mjeed,Panda,Office,6619.086,9733.95
9/28/2004,Jubail,Maliha,Othaim,Toys,1582.7476,2327.57
6/10/2005,Jubail,Maliha,Panda,Toys,5331.82815,5702.49
8/18/2004,Riyadh,Yahia,Othaim,Office,2991.765,3989.02
11/21/2005,Dammam,Yahia,Othaim,Office,3180.816,8596.8
12/6/2004,Abha,Maliha,Panda,Office,31.7492,46.69
10/3/2004,Hail,Ghalia,Othaim,Toys,2774.7771,6452.97
8/11/2005,Riyadh,Maliha,Panda,Office,2583.5568,2935.86
10/6/2004,Hail,Maliha,Carrefour,Food,1547.1495,3438.11
2/10/2005,Dammam,Abdul,Othaim,Food,3806.2052,8851.64
2/27/2005,Abha,Mjeed,Carrefour,Office,2790.2655,6200.59
10/29/2004,Hail,Yahia,Carrefour,Toys,89.3673,151.47
3/5/2005,Dammam,Ghalia,Lulu,Home,3412.3836,5883.42
4/20/2005,Hail,Ghalia,Carrefour,Toys,3970.2932,9233.24
6/24/2005,Jubail,Abdul,Othaim,Toys,1402.9664,1594.28
12/31/2005,Jubail,Maliha,Lulu,Food,4764.705,8663.1
2/10/2005,Abha,Ghalia,Lulu,Toys,2590.3504,2943.58
8/20/2004,Jeddah,Yahia,Carrefour,Office,2734.8742,4635.38
3/26/2006,Riyadh,Maliha,Panda,Home,1619.5635,3599.03
9/23/2004,Abha,Ghalia,Carrefour,Office,4089.386,9510.2
7/11/2005,Jeddah,Ghalia,Lulu,Toys,5096.538,8638.2
10/5/2005,Jubail,Ghalia,Panda,Toys,1365.32,1551.5
4/16/2006,Jubail,Mjeed,Carrefour,Home,2986.6552,4392.14
12/17/2005,Hail,Maliha,Othaim,Food,1528.835,2779.7
8/21/2004,Hail,Ghalia,Carrefour,Home,1381.9096,2032.22
10/11/2004,Jeddah,Mjeed,Panda,Food,1094.3504,1243.58
9/19/2004,Dammam,Ghalia,Othaim,Toys,5342.11315,5713.49
9/13/2005,Riyadh,Maliha,Othaim,Toys,2402.1142,4071.38
3/21/2005,Riyadh,Maliha,Othaim,Office,3280.3056,5559.84
5/30/2005,Abha,Mjeed,Panda,Food,222.678,494.84
12/18/2005,Riyadh,Yahia,Othaim,Food,3553.8093,9604.89
12/27/2005,Riyadh,Yahia,Othaim,Office,6101.096,8972.2
4/3/2005,Hail,Mjeed,Carrefour,Home,732.1893,1978.89
2/8/2005,Riyadh,Yahia,Panda,Toys,2180.0416,2477.32
7/11/2005,Dammam,Ghalia,Othaim,Office,4211.1828,7260.66
11/17/2005,Riyadh,Ghalia,Othaim,Office,4276.9176,9946.32
12/3/2005,Jeddah,Maliha,Othaim,Office,1011.2484,1487.13
3/24/2006,Jeddah,Yahia,Lulu,Food,141.084,313.52
10/24/2005,Hail,Yahia,Panda,Office,1798.3416,2043.57
10/2/2004,Abha,Abdul,Othaim,Office,2578.5144,2930.13
4/20/2005,Riyadh,Ghalia,Othaim,Toys,4501.755,6002.34
1/7/2005,Jubail,Ghalia,Carrefour,Toys,2486.4555,6720.15
8/8/2004,Hail,Yahia,Panda,Office,7632.0684,8162.64
10/15/2005,Hail,Yahia,Carrefour,Home,815.2089,1381.71
8/10/2004,Jubail,Abdul,Othaim,Food,234.0888,266.01
4/15/2005,Riyadh,Mjeed,Lulu,Food,4387.3698,7436.22
6/23/2004,Jubail,Abdul,Panda,Home,776.831,1412.42
12/31/2005,Riyadh,Maliha,Lulu,Home,2963.6762,5023.18
7/28/2004,Hail,Yahia,Panda,Toys,4400.1056,5000.12
12/26/2005,Jeddah,Mjeed,Carrefour,Home,1063.7899,2473.93
2/27/2005,Abha,Yahia,Carrefour,Food,5257.4896,5974.42
12/14/2005,Jeddah,Abdul,Carrefour,Home,1066.285,1938.7
1/5/2005,Abha,Maliha,Lulu,Home,568.0128,1320.96
3/23/2006,Dammam,Abdul,Othaim,Food,1496.693,2721.26
4/15/2006,Hail,Ghalia,Lulu,Toys,1182.0464,3194.72
5/12/2005,Jeddah,Ghalia,Lulu,Home,366.0338,391.48
2/1/2005,Abha,Ghalia,Lulu,Toys,9318.958,9966.8
1/2/2005,Dammam,Yahia,Othaim,Office,2423.7455,4406.81
1/28/2005,Riyadh,Yahia,Carrefour,Office,1917.8987,5183.51
3/1/2005,Hail,Maliha,Othaim,Office,5672.61,7563.48
12/3/2004,Hail,Abdul,Lulu,Toys,1514.9516,2227.87
9/5/2005,Dammam,Abdul,Lulu,Office,6648.6825,8864.91
8/26/2005,Riyadh,Mjeed,Carrefour,Food,1041.6943,2815.39
5/17/2005,Jeddah,Maliha,Lulu,Home,1123.72975,1201.85
1/25/2005,Abha,Abdul,Panda,Home,3998.835,8886.3
11/13/2004,Hail,Ghalia,Panda,Toys,3755.3824,4267.48
2/20/2006,Dammam,Ghalia,Carrefour,Office,1201.3275,1601.77
6/17/2004,Abha,Abdul,Lulu,Home,6305.0008,9272.06
2/5/2006,Hail,Yahia,Lulu,Office,486.1709,1130.63
6/19/2005,Dammam,Abdul,Panda,Home,1521.4518,3538.26
12/8/2004,Dammam,Abdul,Lulu,Home,5488.9765,9303.35
4/14/2005,Jubail,Mjeed,Carrefour,Office,2823.147,6273.66
3/7/2006,Hail,Maliha,Lulu,Toys,2672.1805,4858.51
9/8/2004,Riyadh,Yahia,Lulu,Home,1160.2432,2698.24
6/17/2004,Jubail,Mjeed,Panda,Food,8271.4896,9399.42
11/26/2004,Hail,Abdul,Panda,Home,3238.56885,3463.71
12/1/2005,Abha,Maliha,Carrefour,Food,1459.52565,1560.99
2/15/2005,Dammam,Yahia,Carrefour,Toys,5537.9406,9386.34
5/1/2006,Abha,Yahia,Panda,Food,3084.0746,5317.37
4/13/2006,Dammam,Yahia,Panda,Home,457.7566,1237.18
7/3/2004,Jeddah,Maliha,Carrefour,Toys,3140.9235,5710.77
10/4/2005,Abha,Yahia,Carrefour,Home,5254.0208,8905.12
6/6/2006,Dammam,Maliha,Panda,Food,5231.1225,6974.83
2/1/2006,Riyadh,Abdul,Panda,Office,3031.5375,6736.75
11/14/2005,Jubail,Ghalia,Carrefour,Home,4295.31,5727.08
7/31/2004,Jubail,Ghalia,Othaim,Toys,5937.0596,8730.97
8/20/2005,Jeddah,Mjeed,Lulu,Food,871.995,1162.66
3/7/2005,Riyadh,Mjeed,Othaim,Food,2921.1075,3894.81
9/8/2005,Jubail,Mjeed,Lulu,Food,890.874,2071.8
7/19/2005,Dammam,Ghalia,Carrefour,Food,5046,8700
9/26/2005,Dammam,Mjeed,Othaim,Toys,403.8388,939.16
1/16/2006,Dammam,Yahia,Lulu,Toys,3206.4778,5528.41
2/26/2006,Jeddah,Abdul,Panda,Toys,2746.3432,4038.74
10/12/2004,Hail,Ghalia,Lulu,Toys,3837.6514,4104.44
5/3/2006,Jubail,Yahia,Othaim,Office,4468.6187,7573.93
8/13/2004,Jeddah,Mjeed,Othaim,Toys,8446.46,9598.25
6/22/2005,Riyadh,Ghalia,Panda,Office,1658.9013,3857.91
9/2/2005,Riyadh,Ghalia,Panda,Toys,4413.156,8023.92
12/30/2004,Jeddah,Yahia,Othaim,Food,4139.7565,7526.83
5/14/2006,Jubail,Mjeed,Lulu,Food,3559.26,4745.68
6/26/2005,Jeddah,Ghalia,Carrefour,Food,1522.3185,3382.93
3/4/2006,Jeddah,Abdul,Panda,Office,5659.935,7546.58
10/19/2005,Jubail,Yahia,Othaim,Office,1097.833,2553.1
6/19/2004,Jeddah,Yahia,Panda,Food,581.0124,854.43
1/28/2006,Hail,Mjeed,Carrefour,Toys,3277.44615,3505.29
11/16/2004,Dammam,Maliha,Panda,Home,3608.3835,8018.63
5/28/2006,Dammam,Mjeed,Lulu,Home,1075.8901,2502.07
9/21/2004,Jeddah,Mjeed,Carrefour,Office,1101.1422,2976.06
12/7/2004,Jeddah,Abdul,Carrefour,Food,3845.5505,6991.91
11/30/2004,Dammam,Maliha,Panda,Office,6286.9752,7144.29
8/5/2005,Hail,Ghalia,Othaim,Toys,3234.7872,4757.04
5/4/2006,Jubail,Abdul,Othaim,Toys,5376.2629,9112.31
3/26/2006,Abha,Mjeed,Othaim,Toys,1404.5454,2421.63
10/2/2005,Dammam,Ghalia,Lulu,Toys,167.9623,390.61
10/9/2005,Jeddah,Yahia,Othaim,Food,2718.9459,6323.13
4/9/2005,Jubail,Maliha,Lulu,Home,4048.584,5953.8
1/20/2006,Abha,Mjeed,Othaim,Office,669.45,892.6
5/9/2005,Riyadh,Maliha,Panda,Office,810.8252,1192.39
9/15/2004,Hail,Abdul,Othaim,Office,2600.4858,7028.34
5/31/2006,Abha,Ghalia,Lulu,Toys,4494.447,9987.66
1/12/2005,Hail,Abdul,Othaim,Food,975.3496,2636.08
10/12/2005,Dammam,Abdul,Othaim,Home,303.9739,515.21
1/24/2006,Jubail,Maliha,Panda,Home,4083.1811,9495.77
8/8/2005,Abha,Mjeed,Lulu,Office,5623.762,9531.8
9/30/2005,Hail,Ghalia,Panda,Home,472.3785,1049.73
3/4/2005,Jubail,Yahia,Carrefour,Food,5245.7053,5610.38
8/3/2004,Abha,Maliha,Othaim,Office,1281.1805,3462.65
3/12/2005,Abha,Mjeed,Panda,Office,1499.6312,2205.34
4/10/2006,Riyadh,Maliha,Lulu,Food,8220.2648,9341.21
8/1/2004,Jeddah,Yahia,Othaim,Toys,5948.055,7930.74
4/20/2005,Hail,Abdul,Carrefour,Office,640.6633,1085.87
3/15/2005,Dammam,Mjeed,Othaim,Office,5708.7088,8395.16
3/27/2005,Jubail,Maliha,Lulu,Home,4901.7082,8307.98
7/28/2005,Dammam,Abdul,Carrefour,Food,7014.885,9353.18
7/1/2004,Hail,Abdul,Othaim,Home,2656.3393,4502.27
7/15/2005,Hail,Abdul,Lulu,Home,989.7545,1677.55
10/20/2005,Jubail,Maliha,Panda,Toys,1644.7018,4445.14
8/30/2004,Jubail,Yahia,Panda,Office,141.856,257.92
11/11/2004,Hail,Mjeed,Carrefour,Toys,3891.0924,6708.78
5/4/2005,Riyadh,Yahia,Panda,Office,3987.054,8860.12
1/24/2005,Hail,Mjeed,Lulu,Food,2303.4252,3387.39
4/25/2006,Jubail,Ghalia,Lulu,Office,8333.4119,8912.74
11/23/2005,Dammam,Yahia,Othaim,Food,1103.6693,2982.89
2/8/2005,Dammam,Mjeed,Panda,Toys,6764.52865,7234.79
3/11/2005,Jeddah,Yahia,Panda,Toys,6724.1504,7641.08
12/5/2004,Abha,Abdul,Panda,Home,2498.985,3331.98
11/8/2005,Jeddah,Maliha,Othaim,Toys,7205.11,7706
10/26/2004,Riyadh,Maliha,Othaim,Home,5841.5896,6638.17
4/12/2005,Dammam,Maliha,Othaim,Home,4392.872,7987.04
